iter	Passed	Remaining
427	1778	1715
428	1781	1711
429	1785	1706
430	1789	1702
431	1793	1697
432	1796	1693
433	1800	1688
434	1804	1684
435	1809	1680
436	1812	1675
437	1816	1671
438	1820	1667
439	1824	1663
440	1828	1658
441	1832	1654
442	1836	1649
443	1840	1645
444	1844	1641
445	1848	1636
446	1852	1632
447	1856	1628
448	1859	1623
449	1863	1619
450	1867	1614
451	1871	1610
452	1874	1605
453	1878	1601
454	1882	1597
455	1886	1592
456	1889	1588
457	1893	1583
458	1897	1579
459	1901	1574
460	1905	1570
461	1909	1566
462	1913	1562
463	1917	1557
464	1921	1553
465	1925	1549
466	1928	1544
467	1932	1540
468	1936	1535
469	1940	1531
470	1944	1527
471	1947	1522
472	1951	1518
473	1958	1516
474	1964	1513
475	1968	1509
476	1972	1505
477	1976	1500
478	1980	1496
479	1983	1492
480	1988	1487
481	1991	1483
482	1995	1479
483	1999	1474
484	2004	1471
485	2009	1468
486	2013	1463
487	2017	1459
488	2021	1454
489	2024	1450
490	2028	1446
491	2032	1441
492	2036	1437
493	2040	1433
494	2044	1428
495	2047	1424
496	2051	1420
497	2056	1416
498	2059	1411
499	2063	1407
500	2067	1403
501	2071	1398
502	2075	1394
503	2079	1390
504	2082	1385
505	2086	1381
506	2090	1377
507	2094	1373
508	2098	1368
509	2106	1367
510	2112	1364
511	2116	1360
512	2120	1355
513	2124	1351
514	2128	1347
515	2132	1342
516	2135	1338
517	2139	1334
518	2143	1329
519	2147	1325
520	2154	1323
521	2161	1321
522	2165	1316
523	2169	1312
524	2173	1308
525	2177	1303
526	2180	1299
527	2184	1295
528	2188	1291
529	2192	1286
530	2196	1282
531	2203	1280
532	2210	1277
533	2214	1273
534	2218	1269
535	2222	1264
536	2226	1260
537	2229	1255
538	2233	1251
539	2237	1247
540	2241	1243
541	2245	1238
542	2253	1236
543	2259	1233
544	2262	1229
545	2266	1224
546	2270	1220
547	2274	1215
548	2277	1211
549	2281	1207
550	2285	1203
551	2289	1198
552	2293	1194
553	2298	1190
554	2302	1186
555	2306	1182
556	2309	1177
557	2313	1173
558	2317	1169
559	2321	1164
560	2325	1160
561	2328	1156
562	2333	1152
563	2337	1147
564	2340	1143
565	2344	1139
566	2348	1134
567	2352	1130
568	2356	1126
569	2359	1121
570	2363	1117
571	2367	1113
572	2371	1109
573	2376	1105
574	2380	1101
575	2384	1096
576	2388	1092
577	2391	1088
578	2395	1084
579	2399	1079
580	2403	1075
581	2407	1071
582	2411	1067
583	2415	1063
584	2419	1058
585	2423	1054
586	2426	1050
587	2430	1045
588	2434	1041
589	2439	1037
590	2443	1033
591	2448	1029
592	2451	1025
593	2455	1021
594	2459	1016
595	2463	1012
596	2466	1008
597	2470	1003
598	2474	999
599	2478	995
600	2482	991
601	2486	987
602	2490	982
603	2493	978
604	2497	974
605	2501	970
606	2505	965
607	2509	961
608	2512	957
609	2517	953
610	2521	949
611	2524	944
612	2528	940
613	2533	936
614	2536	932
615	2540	927
616	2544	923
617	2547	919
618	2551	915
619	2555	910
620	2559	906
621	2563	902
622	2566	898
623	2570	893
624	2574	889
625	2579	885
626	2582	881
627	2586	877
628	2590	873
629	2594	868
630	2598	864
631	2602	860
632	2606	856
633	2610	852
634	2614	848
635	2618	843
636	2621	839
637	2625	835
638	2629	831
639	2633	826
640	2636	822
641	2640	818
642	2644	814
643	2648	810
644	2652	805
645	2655	801
646	2659	797
647	2663	793
648	2667	789
649	2671	784
650	2675	780
651	2679	776
652	2683	772
653	2687	768
654	2690	764
655	2694	759
656	2698	755
657	2702	751
658	2706	747
659	2709	743
660	2713	738
661	2717	734
662	2721	730
663	2724	726
664	2729	722
665	2733	718
666	2736	713
667	2740	709
668	2744	705
669	2748	701
670	2752	697
671	2756	693
672	2759	688
673	2763	684
674	2767	680
675	2771	676
676	2774	672
677	2778	668
678	2782	663
679	2786	659
680	2789	655
681	2794	651
682	2797	647
683	2801	643
684	2805	638
685	2809	634
686	2812	630
687	2816	626
688	2820	622
689	2824	618
690	2828	614
691	2832	609
692	2836	605
693	2840	601
694	2844	597
695	2848	593
696	2851	589
697	2855	585
698	2859	580
699	2863	576
700	2867	572
701	2871	568
702	2875	564
703	2879	560
704	2883	556
705	2886	552
706	2890	547
707	2894	543
708	2898	539
709	2901	535
710	2905	531
711	2909	527
712	2913	523
713	2917	518
714	2921	514
715	2925	510
716	2929	506
717	2934	502
718	2938	498
719	2941	494
720	2945	490
721	2949	486
722	2953	481
723	2957	477
724	2961	473
725	2964	469
726	2968	465
727	2972	461
728	2976	457
729	2980	453
730	2984	449
731	2988	444
732	2992	440
733	2995	436
734	2999	432
735	3003	428
736	3007	424
737	3010	420
738	3014	416
739	3018	411
740	3022	407
741	3026	403
742	3030	399
743	3034	395
744	3038	391
745	3042	387
746	3046	383
747	3050	379
748	3053	375
749	3057	371
750	3061	366
751	3065	362
752	3069	358
753	3073	354
754	3076	350
755	3080	346
756	3084	342
757	3088	338
758	3091	334
759	3095	329
760	3099	325
761	3103	321
762	3107	317
763	3111	313
764	3114	309
765	3118	305
766	3122	301
767	3126	297
768	3130	293
769	3134	289
770	3138	284
771	3141	280
772	3145	276
773	3149	272
