iter	Logloss
0	0.6474384769
1	0.6089788723
2	0.5731501114
3	0.5449070005
4	0.5261255554
5	0.4981800642
6	0.4760793461
7	0.4613796303
8	0.4442028182
9	0.4308180364
10	0.4174202058
11	0.4023083382
12	0.3891229987
13	0.378260859
14	0.3645435593
15	0.3532958549
16	0.3453737974
17	0.3393810451
18	0.329841964
19	0.3218569048
20	0.3131506288
21	0.3054354003
22	0.2981634991
23	0.291352774
24	0.2863560195
25	0.2804257443
26	0.2743840106
27	0.2679860746
28	0.2617061217
29	0.2562423769
30	0.2520152308
31	0.2471987256
32	0.2432253648
33	0.2391810519
34	0.2352010575
35	0.2318464417
36	0.228958789
37	0.2264217078
38	0.2218778795
39	0.2181864479
40	0.2147053848
41	0.2109833116
42	0.2078138151
43	0.2048724612
44	0.2013689646
45	0.1981270093
46	0.1955507357
47	0.1917178299
48	0.1889805742
49	0.1854529865
50	0.1835735179
51	0.1803547478
52	0.1780768139
53	0.1750511528
54	0.173279294
55	0.1718378583
56	0.169734635
57	0.1685984543
58	0.1660866911
59	0.163873857
60	0.1618195034
61	0.1590230884
62	0.1568735246
63	0.1555341196
64	0.1538849479
65	0.151581236
66	0.1496286051
67	0.1484462305
68	0.1467282489
69	0.1447539563
70	0.1435614006
71	0.1424336835
72	0.1406511959
73	0.1389249344
74	0.1370136364
75	0.1356658198
76	0.1337372644
77	0.1317069613
78	0.1298772349
79	0.1280806452
80	0.1260927703
81	0.124225062
82	0.1227604362
83	0.1212406853
84	0.1198981069
85	0.1187049952
86	0.1170908363
87	0.1161212914
88	0.1146176329
89	0.1134689025
90	0.1125150183
91	0.1108192469
92	0.109622448
93	0.1073655186
94	0.1066285361
95	0.1053528784
96	0.1046162368
97	0.1036222793
98	0.1025490375
99	0.1011057877
100	0.0997484917
101	0.09906583791
102	0.0977985224
103	0.09676347571
104	0.09579136359
105	0.09573299687
106	0.09460410851
107	0.09365443492
108	0.09280188382
109	0.09221411025
110	0.09082661002
111	0.09046678372
112	0.08972139498
113	0.0888555184
114	0.0880819216
115	0.08734535463
116	0.08668956467
117	0.08614918051
118	0.08517455286
119	0.0840191726
120	0.08309158893
121	0.08176161405
122	0.08078327578
123	0.07983265794
124	0.07874237025
125	0.07750664506
126	0.07680213273
127	0.07592096288
128	0.07484144533
129	0.07394955005
130	0.07350599298
131	0.07263374903
132	0.07183670826
133	0.07109117447
134	0.07052215176
135	0.06977891269
136	0.06897234828
137	0.0679903757
138	0.06728417446
139	0.06663853529
140	0.06611128953
141	0.06550118439
142	0.06487952336
143	0.06442098362
144	0.06359630645
145	0.06297994309
146	0.06224560727
147	0.061777097
148	0.06100007784
149	0.060566498
150	0.06019914902
151	0.05968562529
152	0.05908921041
153	0.05871311738
154	0.05830426144
155	0.05769172637
156	0.05699504413
157	0.05667049809
158	0.05626305283
159	0.05563471337
160	0.05512713104
161	0.05441284258
162	0.05408498883
163	0.05370578554
164	0.05327590013
165	0.05301430853
166	0.05260282608
167	0.05203393542
168	0.05153712236
169	0.05126231929
170	0.05090915254
171	0.05050876149
172	0.05006008073
173	0.04969999039
174	0.04924629891
175	0.04881084866
176	0.0483389002
177	0.04788728391
178	0.04756872166
179	0.04719866658
180	0.04691124164
181	0.04656478498
182	0.04622430757
183	0.04589758991
184	0.04563540304
185	0.04522736035
186	0.04486449593
187	0.04445496423
188	0.04411457781
189	0.04382267607
190	0.04339967979
191	0.04298860741
192	0.04254066714
193	0.04223692262
194	0.04183999713
195	0.04161502759
196	0.04132551332
197	0.04095541062
198	0.04061416826
199	0.04018958501
200	0.03996092635
201	0.03963731561
202	0.03930736566
203	0.0389557164
204	0.0387461875
205	0.03839232475
206	0.03812612315
207	0.0379326328
208	0.03764462788
209	0.03735446071
210	0.03703283637
211	0.03685434366
212	0.03657079564
213	0.03636822297
214	0.03617981604
215	0.03590444718
216	0.03565839328
217	0.03547231278
218	0.03533992315
219	0.03505145886
220	0.03477884354
221	0.03458743274
222	0.03439433225
223	0.03424377135
224	0.03403830606
225	0.03382235722
226	0.03351528841
227	0.03335948344
228	0.03317368636
229	0.03299670959
230	0.03284542861
231	0.03268963128
232	0.03258555171
233	0.03242441694
234	0.03225158882
235	0.03196526264
236	0.03179548216
237	0.03155983598
238	0.03142445128
239	0.03116564341
240	0.03093099833
241	0.03075914967
242	0.03052590837
243	0.0304073126
244	0.03019628973
245	0.03005774324
246	0.02991248861
247	0.02972684175
248	0.02954989802
249	0.02936914856
250	0.02913866238
251	0.02899614911
252	0.02884178794
